Name,Notes,Lat,Long,x,y
Laa an der Thaya,,48.72112999976354,16.385680999811182,1824045.6651999988,6227674.781300001
Valtice,,48.744872999945144,16.757080000160347,1865389.6127999984,6231682.0336000025
Znojmo,,48.85589600014202,16.048889000199683,1786554.1512999982,6250445.238899998
Glogówek, ,50.35247800017242,17.864928999658765,1988714.7993,6507544.079700001
Laurino,,40.33899700000769,15.332996000401558,1706861.3071000017,4915327.379199997
Olomouc,,49.595519999952984,17.25189200035438,1920471.8326999992,6376519.479199998
Unicov,,49.771301000077024,17.12127700026423,1905931.8374000005,6406763.004000001
Opava,,49.93890400012411,17.902527000423706,1992900.1895999983,6435701.805399999
Vysoke Myto,,49.95312500014757,16.16290299999037,1799246.1317000017,6438161.870800003
Benešov, ,49.78149399984543,14.686707000269434,1634916.7446999997,6408520.0933
Wodzislaw Slaski, ,50.00354166558106,18.466359016297385,2055665.682500001,6446889.217699997
Nysa,,50.48107900012985,17.33550999962537,1929780.1457999982,6530010.883299999
Opole,,50.67047099988422,17.9244999997841,1995346.2126999982,6563209.561899997
Brzeg,,50.86071799993869,17.467712000327392,1944496.8051999994,6596693.231600001
