monastery_name,notes,lat,lon,x,y
Terracina,,41.291998,13.241999,1474092.586,5055507.175
Gaeta,,41.211997,13.562003,1509715.268,5043661.64
Borgno San Lorenzo,,43.948996,11.384003,1267261.417,5457552.586
Figline Valdarno,,43.581004,11.313002,1259357.622,5400828.893
Citivella del Tronto,,42.775999,13.664999,1521180.73,5277938.524
Antrodoco,,42.415,13.088,1456949.495,5223348.577
Catignano,,42.345997,13.946996,1552572.493,5212949.852
Pescara,,42.466003,14.194001,1580068.964,5231042.064
Lanciano,,42.226999,14.383001,1601108.347,5195043.677
Guardiagrele,,42.19,14.219003,1582852.174,5189483.15
Vasto,,42.108001,14.704004,1636842.238,5177171.224
Boiano,,41.481997,14.464001,1610125.226,5083698.182
Teano,,41.244001,14.063996,1565596.873,5048398.647
Aversa,,40.976998,14.191004,1579735.339,5008949.466
Avellino,,40.912999,14.791997,1646637.574,4999517.493
Nocera Inferiore,,40.742998,14.638997,1629605.692,4974507.515
Veglia,,40.330996,17.968997,2000299.596,4914158.943
Domodossola,,46.117996,8.291999,923061.1063,5799278.367
Varese,,45.824002,8.824997,982394.1723,5752190.135
Cantu,,45.736999,9.125003,1015790.687,5738302.829
Bergamo,,45.694996,9.665003,1075903.212,5731606.11
Saronno,,45.630997,9.029,1005103.682,5721412.136
Novara,,45.448999,8.611004,958572.5805,5692486.34
Lodi,,45.313,9.500996,1057646.037,5670932.262
Piacenza,,45.052999,9.698996,1079687.296,5629868.957
Valenza,,45.016999,8.633999,961132.3722,5624198.028
Locarno,,46.164004,8.762996,975492.2525,5806670.04
Lugano,,46.006,8.949998,996309.22,5781310.777
Cremona,,45.142,10.012997,1114641.727,5643904.251
Belluno,,46.144996,12.217997,1360101.205,5803615.454
Feltre,,46.026997,11.912996,1326148.648,5784676.564
Conegliano,,45.889,12.297998,1369006.875,5762579.2
Bassano Del Grappa,,45.76795014,11.733106,1306123.385,5743240.728
Treviso,,45.666997,12.245996,1363218.039,5727144.902
Vicenza,,45.544003,11.550998,1285851.216,5707574.09
Plove Di Sacco,,45.295999,12.038996,1340174.904,5668241.464
Este,,45.219004,11.655002,1297428.888,5656065.329
La Scarzuola,,42.90679293,12.1483665,1352349.972,5297795.524
Chioggia,,45.215998,12.277001,1366669.5,5655590.289
Rovigo,,45.079,11.783,1311677.56,5633967.005
Gemona del Friuli,,46.279996,13.138004,1462515.915,5825332.87
Udine,,46.066003,13.241,1473981.378,5790932.563
Monfalcone,,45.811996,13.528001,1505930.183,5750272.463
Chivasso, ,45.18988,7.884277,877673.7009,5651463.903
"Rivarolo, Torrile", ,44.908081,10.318115,1148607.308,5607062.31
Ivrea, ,45.466675,7.875916,876742.9587,5695291.57
Biella, ,45.562927,8.058289,897044.6281,5710582.487
San Esteban de Gormaz, ,41.57325014,-3.206482393,-356943.9872,5097267.198
Breisach am Rhein, ,48.02832,7.582703,844102.6368,6111567.568
Weissenburg, ,49.032288,10.97168,1221361.831,6280341.769
Kaysersberg, ,48.138916,7.263916,808615.4303,6129996.701
Susa, ,45.138489,7.048523,784637.9912,5643350.158
Chieri, ,45.011475,7.822693,870818.2014,5623328.171
Hofgeismar, ,51.49408,9.383484,1044564.661,6709160.524
Friedberg, ,48.354919,10.979675,1222251.83,6166105.136
Merl, ,50.039917,7.169678,798124.9041,6453191.634
Siegburg, ,50.798889,7.20813,802405.3612,6585796.32
Emden, ,53.364319,7.201294,801644.3811,7050673.462
Aalborg,,57.047302,9.920105,1104301.037,7769792.943
Bergen,,63.298279,21.068115,2345291.834,9173766.126
Menorca, ,40.002319,3.839294,427388.2531,4866279.276
Eivissa, ,38.908875,1.432495,159464.614,4708627.091
Tàrrega, ,41.646912,1.139282,126824.2921,5108234.441
La Bastide-de-Sérou, ,43.012878,1.42749,158907.4599,5313932.215
Rioms, ,44.273071,5.460327,607840.8212,5507798.256
Rions, ,44.664124,-0.351624,-39142.6046,5568798.766
Pitigliano, ,42.636108,11.674683,1299619.767,5256746.778
Piancastagnaio, ,42.851685,11.686096,1300890.256,5289423.97
Sant'Angelo in Pontano, ,43.099487,13.397705,1491425.698,5327127.063
"San Severino, Rapagnano", ,43.154724,13.585327,1512311.684,5335552.149
Sarteano, ,42.989319,11.866882,1321015.262,5310346.231
Radicofani, ,42.896484,11.771118,1310354.862,5296228.906
Proceno, ,42.758301,11.830688,1316986.164,5275254.857
Mantua, ,45.160278,10.797729,1201997.694,5646789.368
Gargnano, ,45.688721,10.662476,1186941.399,5730606.091
Tours, ,47.39032,0.688904,76688.4425,6006018.581
Jaca, ,42.572083,-0.55011,-61237.9651,5247063.68
Orthez, ,43.488281,-0.772583,-86003.5462,5386590.992
Carinena, ,41.336914,-1.224121,-136268.5264,5062164.135
Castro-Urdiales, ,43.382874,-3.219482,-358391.0969,5370431.945
Medina del Campo, ,41.308289,-4.921692,-547880.2473,5057921.12
Stamford,,52.651306,-0.47998,-53431.1292,6918757.633
