name,founded,comment,lat,lon,x,y,start_century
Linlithgow,1251-1300, ,55.978368,-3.59423,-400107.8534,7554110.541,1200
Salisbury,1251-1300, ,51.06757606,-1.797491424,-200095.83,6633255.862,1200
Strangnas,1251-1300, ,59.37703897,17.0326246,1896063.097,8262329.605,1200
Tartu (Dorpat),1251-1300, ,58.3820952,26.71606016,2974018.213,8048015.795,1200
Halmstad,1251-1300, ,56.6756912,12.86138054,1431722.333,7694119.627,1200
Hälsingborg,1251-1300, ,56.04698992,12.69504791,1413206.268,7567775.713,1200
Vordingborg,1251-1300, ,55.00840809,11.91181729,1326017.435,7363498.123,1200
Tczew,1251-1300, ,54.091927,18.777307,2090280.254,7187585.427,1200
Pasewalk,1251-1300, ,53.50516079,13.99019155,1557380.999,7076991.163,1200
Robel,1251-1300, ,53.37568117,12.60433867,1403108.562,7052793.367,1200
Winsum,1251-1300, ,53.33136621,6.51790424,725569.781,7044528.468,1200
Norden,1251-1300, ,53.59498104,7.20245887,801774.0539,7093820.672,1200
Torun,1251-1300, ,53.01572753,18.60432904,2071024.435,6985907.618,1200
Sochaczew,1251-1300, ,52.229337,20.238359,2252923.818,6841699.223,1200
Leczyca,1251-1300, ,52.05871981,19.20418026,2137799.568,6810749.72,1200
Lublin,1251-1300, ,51.246454,22.568446,2512307.917,6665004.913,1200
Bistrita Beszterce,1251-1300, ,47.13832163,24.49713666,2727008.779,5964680.98,1200
Sibiu (Hermannstadt),1251-1300,"GHW only: 1250-1303. Curta, 421: pre-1241.",45.79549335,24.15139973,2688521.52,5747637.233,1200
Alba-Iulia,1251-1300, ,46.07108082,23.57252476,2624081.453,5791747.297,1200
Budapest,1251-1300, ,47.50195313,19.04273444,2119827.501,6024393.949,1200
Györ,1251-1300, ,47.68400091,17.63523405,1963145.275,6054443.932,1200
Tulin an der Donau,1251-1300, ,48.33045214,16.06138308,1787944.986,6162007.429,1200
Pozega,1251-1300, ,45.33107699,17.676978,1967792.19,5673794.246,1200
Bihac,1251-1300, ,44.79286,16.268155,1810962.731,5588970.267,1200
Ulcinj,1251-1300, ,41.92875853,19.22112574,2139685.93,5150313.784,1200
Thebes,1251-1300, ,38.32129097,23.3221632,2596211.331,4624913.407,1200
Andravida,1251-1300, ,37.90685873,21.27094708,2367870.998,4566276.418,1200
Chalkis,1251-1300, ,38.46428967,23.59956605,2627091.676,4645223.598,1200
Heraklion,1251-1300, ,35.33529857,25.13181749,2797661.126,4209540.754,1200
Famagusta,1251-1300, ,35.10580298,33.9503595,3779336.732,4178268.659,1200
Limassol,1251-1300, ,34.68333957,33.05111233,3679232.994,4120931.09,1200
Udine,1251-1300, ,46.06477242,13.23216148,1472997.478,5790735.128,1200
Capo d'Istria,1251-1300, ,45.5466619,13.72986977,1528402.112,5707996.72,1200
Bolzano (Bozen),1251-1300, ,46.49512915,11.3541964,1263943.362,5860052.16,1200
Chioggia,1251-1300, ,45.2171202,12.27882017,1366872.008,5655767.628,1200
Vicenza,1251-1300, ,45.54670051,11.54576464,1285268.64,5708002.857,1200
Ravenna,1251-1300, ,44.41776077,12.19782244,1357855.383,5530320.879,1200
Cesena,1251-1300, ,44.13835433,12.24216929,1362792.052,5486877.858,1200
Urbino,1251-1300, ,43.7246964,12.63694852,1406738.674,5422936.692,1200
Pesaro,1251-1300, ,43.91180555,12.9156571,1437764.372,5451804.018,1200
Fano,1251-1300, ,43.84394134,13.01819933,1449179.32,5441323.422,1200
Osimo,1251-1300, ,43.48615163,13.48393464,1501024.738,5386264.277,1200
Recanati,1251-1300, ,43.40335383,13.56184878,1509698.1,5373569.331,1200
Fabriano,1251-1300, ,43.33623469,12.90563865,1436649.123,5363291.038,1200
Camerino,1251-1300, ,43.14057022,13.06716972,1454630.68,5333392.603,1200
Ascoli Piceno,1251-1300, ,42.854901,13.58077425,1511804.874,5289912.313,1200
Foligno,1251-1300, ,42.95660922,12.70372406,1414172.094,5305369.658,1200
Narni Scalo,1251-1300, ,42.53160158,12.51748568,1393440.132,5240946.427,1200
Rieti,1251-1300, ,42.40307961,12.86111663,1431692.955,5221551.362,1200
Penne,1251-1300, ,42.45758529,13.92675695,1550319.492,5229771.873,1200
Tivoli,1251-1300, ,41.96366909,12.79858503,1424731.968,5155538.802,1200
Fondi,1251-1300, ,41.35575322,13.43195703,1495238.617,5064957.646,1200
Sessa Aurunca,1251-1300, ,41.24194855,13.93389131,1551113.685,5048094.788,1200
Capua,1251-1300, ,41.10184029,14.21897401,1582848.947,5027374.708,1200
Aversa,1251-1300, ,40.97339669,14.20768941,1581592.751,5008418.473,1200
Somma Vesuviana,1251-1300, ,40.87169535,14.43835244,1607270.042,4993435.138,1200
Salerno,1251-1300, ,40.68097856,14.76678475,1643830.959,4965399.345,1200
Avigliano,1251-1300, ,40.73072896,15.71999301,1749941.618,4972705.011,1200
Barletta,1251-1300, ,41.31845759,16.28134354,1812430.872,5059428.172,1200
Bari,1251-1300, ,41.12730659,16.87092976,1878063.31,5031137.531,1200
Monopoli,1251-1300, ,40.95184298,17.29888659,1925703.247,5005241.108,1200
Gubbio,1251-1300, ,43.35533151,12.57374332,1399702.704,5366214.273,1200
Cortona,1251-1300, ,43.27492452,11.98621417,1334299.258,5353912.225,1200
Citta di Castello,1251-1300, ,43.46082,12.24377,1362970.242,5382378.468,1200
Prato,1251-1300, ,43.87749643,11.09941732,1235581.484,5446504.004,1200
Pistoia,1251-1300, ,43.93205864,10.91884204,1215479.936,5454934.115,1200
Crema,1251-1300, ,45.36236503,9.692549206,1078969.642,5678749.987,1200
Monza,1251-1300, ,45.58264881,9.272055693,1032160.518,5713718.793,1200
Alessandria,1251-1300, ,44.91374628,8.616337558,959166.3095,5607952.809,1200
Tortona,1251-1300, ,44.89718445,8.865284956,986879.007,5605349.779,1200
Albenga,1251-1300, ,44.05044594,8.215723184,914570.1213,5473252.13,1200
Cherasco,1251-1300, ,44.65108439,7.858592436,874814.5083,5566758.104,1200
Alba,1251-1300, ,44.70047819,8.034573881,894404.6732,5574490.517,1200
Chieri,1251-1300, ,45.01370027,7.822194995,870762.7637,5623678.572,1200
Turin,1251-1300, ,45.06921719,7.686447212,855651.3896,5632424.905,1200
Ivrea,1251-1300, ,45.46873767,7.878654268,877047.7813,5695618.979,1200
Novara,1251-1300, ,45.44939244,8.620739804,959656.3652,5692548.771,1200
Barlassina,1251-1300, ,45.656561,9.129883,1016333.927,5725482.658,1200
Toro,1251-1300, ,41.52565942,-5.394737879,-600539.4736,5090188.24,1200
Ortigueira,1251-1300, ,43.68580557,-7.851936834,-874073.6101,5416947.918,1200
Collioure,1251-1300, ,42.52495394,3.081238272,343001.8755,5239942.264,1200
Albi,1251-1300, ,43.92739365,2.148084056,239123.6233,5454213.049,1200
Genolhac,1251-1300, ,44.34988361,3.94893164,439593.0593,5519748.097,1200
Tarascon,1251-1300, ,43.80847293,4.661553194,518921.7279,5435850.61,1200
Auvillar,1251-1300, ,44.06888977,0.900382184,100230.0862,5476109.231,1200
Savigliano,1251-1300, ,44.64745867,7.659831411,852688.5322,5566190.772,1200
Saint-Maximin-la-Sainte-Baume,1251-1300, ,43.45321244,5.860522742,652390.4074,5381211.806,1200
Guebwiller,1251-1300, ,47.90843062,7.212263847,802865.5389,6091634.451,1200
Chur,1251-1300, ,46.84945169,9.530728736,1060955.87,5917535.283,1200
Bad Mergentheim,1251-1300, ,49.48891507,9.771083251,1087712.012,6358230.93,1200
Warburg,1251-1300, ,51.48966677,9.146630913,1018198.296,6708371.481,1200
Wesel,1251-1300, ,51.6608228,6.609264499,735739.9586,6739028.682,1200
Bad Wimpfen,1251-1300, ,49.23110159,9.158549352,1019525.05,6314165.863,1200
Haarlem,1251-1300, ,52.37995714,4.634531262,515913.6601,6869120.313,1200
Eichstätt,1251-1300, ,48.89109619,11.18506192,1245115.397,6256402.858,1200
Cheb,1251-1300, ,50.07784681,12.37565752,1377651.893,6459768.468,1200
Plzen,1251-1300, ,49.74754009,13.37743592,1489169.355,6402668.487,1200
Klatovy,1251-1300, ,49.39646798,13.2936533,1479842.716,6342403.436,1200
Pisek,1251-1300, ,49.30807709,14.14841914,1574994.814,6327298.225,1200
Louny,1251-1300, ,50.35684989,13.79664844,1535835.879,6508306.856,1200
Beroun,1251-1300, ,49.96386317,14.07155794,1566438.664,6440019.928,1200
Ceske Budejovice,1251-1300, ,48.97540275,14.47484859,1611332.774,6270688.785,1200
Retz,1251-1300, ,48.75676774,15.95183614,1775750.277,6233690.295,1200
Znojmo,1251-1300, ,48.85514419,16.04817556,1786474.731,6250318.041,1200
Litomerice,1251-1300, ,50.533738,14.131115,1573068.526,6539228.136,1200
Kolin,1251-1300, ,50.02782425,15.20041815,1692102.808,6451095.906,1200
Tabor,1251-1300, ,49.41396388,14.65840832,1631766.55,6345396.55,1200
Nymburk,1251-1300, ,50.18584667,15.04163326,1674426.955,6478523.636,1200
Swidnica,1251-1300, ,50.84497451,16.49415892,1836121.372,6593917.186,1200
Sagone,1251-1300, ,42.11259904,8.702005066,968702.7728,5177861.186,1200
Opatowiec,1251-1300, ,50.244006,20.72393,2306977.335,6488641.11,1200
Mysliborz,1251-1300, ,52.923719,14.86785,1655081.491,6968900.446,1200
Legnica,1251-1300, ,51.21095428,16.16130273,1799067.99,6658694.266,1200
Opava,1251-1300, ,49.93910059,17.90319248,1992974.271,6435735.809,1200
Boleslawiec,1251-1300, ,51.26214905,15.56854741,1733082.77,6667796.513,1200
Glogow,1251-1300, ,51.66349628,16.08455073,1790523.997,6739508.47,1200
Turnov,1251-1300, ,50.58391129,15.15175032,1686685.13,6548019.874,1200
Chrudim,1251-1300, ,49.95221095,15.79492157,1758282.626,6438003.729,1200
Zabkowicki (Zabkowice),1251-1300, ,50.58643765,16.82580859,1873040.444,6548462.81,1200
Opole,1251-1300, ,50.67043487,17.9244215,1995337.474,6563203.216,1200
Cieszyn,1251-1300, ,49.7502089,18.63133421,2074030.637,6403128.279,1200
Augusta,1251-1300, ,37.24214554,15.22081631,1694373.521,4472912.713,1200
Trapani,1251-1300, ,38.01654223,12.51512494,1393177.335,4581762.938,1200
Nardo,1251-1300, ,40.17555778,18.02965835,2007052.387,4891486.75,1200
Zofingen,1251-1300, ,47.28557456,7.947383459,884698.6798,5988812.32,1200
Luxembourg,1251-1300, ,49.60659269,6.125838838,681925.2601,6378421.339,1200
Beauvoir-sur-Mer,1251-1300, ,46.91553261,-2.043413462,-227471.7461,5928297.727,1200
Warwick,1251-1300, ,52.28245111,-1.586945659,-176657.9827,6851358.248,1200
King's Lynn,1251-1300, ,52.76335853,0.409274731,45560.2547,6939345.049,1200
Stupsk,1251-1300, ,54.464148,17.028482,1895601.945,7258555.081,1200
Brest,1251-1300, ,52.09506915,23.68225428,2636296.487,6817333.464,1200
Warka,1251-1300, ,51.78318286,21.19483671,2359398.43,6761016.678,1200
Wronki,1251-1300, ,52.70816212,16.37891942,1823292.97,6929197.203,1200
Uhersky Brod,1251-1300, ,49.0255199,17.64677644,1964430.168,6279192.697,1200
